0.0002007484436035 0.806000 1.000000	0.806000, 1.000000, 0.002638
0.0002846717834473 0.806000 2.000000	0.806000, 2.000000, 0.003730
0.0003485679626465 0.806000 3.000000	0.806000, 3.000000, 0.004569
0.0004019737243652 0.806000 4.000000	0.806000, 4.000000, 0.005275
0.0004496574401855 0.806000 5.000000	0.806000, 5.000000, 0.005898
0.0004925727844238 0.806000 6.000000	0.806000, 6.000000, 0.006461
0.0005316734313965 0.806000 7.000000	0.806000, 7.000000, 0.006979
0.0005688667297363 0.806000 8.000000	0.806000, 8.000000, 0.007460
0.0006031990051270 0.806000 9.000000	0.806000, 9.000000, 0.007913
0.0006356239318848 0.806000 10.000000	0.806000, 10.000000, 0.008341
0.0006670951843262 0.806000 11.000000	0.806000, 11.000000, 0.008748
0.0006966590881348 0.806000 12.000000	0.806000, 12.000000, 0.009137
0.0007252693176270 0.806000 13.000000	0.806000, 13.000000, 0.009510
0.0007529258728027 0.806000 14.000000	0.806000, 14.000000, 0.009869
0.0007786750793457 0.806000 15.000000	0.806000, 15.000000, 0.010216
0.0008044242858887 0.806000 16.000000	0.806000, 16.000000, 0.010551
0.0008292198181152 0.806000 17.000000	0.806000, 17.000000, 0.010875
0.0008530616760254 0.806000 18.000000	0.806000, 18.000000, 0.011191
0.0008769035339355 0.806000 19.000000	0.806000, 19.000000, 0.011497
0.0008997917175293 0.806000 20.000000	0.806000, 20.000000, 0.011796
0.0002026557922363 0.807000 1.000000	0.807000, 1.000000, 0.002659
0.0002865791320801 0.807000 2.000000	0.807000, 2.000000, 0.003760
0.0003514289855957 0.807000 3.000000	0.807000, 3.000000, 0.004605
0.0004057884216309 0.807000 4.000000	0.807000, 4.000000, 0.005317
0.0004534721374512 0.807000 5.000000	0.807000, 5.000000, 0.005945
0.0004973411560059 0.807000 6.000000	0.807000, 6.000000, 0.006512
0.0005364418029785 0.807000 7.000000	0.807000, 7.000000, 0.007034
0.0005736351013184 0.807000 8.000000	0.807000, 8.000000, 0.007520
0.0006089210510254 0.807000 9.000000	0.807000, 9.000000, 0.007976
0.0006413459777832 0.807000 10.000000	0.807000, 10.000000, 0.008407
0.0006728172302246 0.807000 11.000000	0.807000, 11.000000, 0.008818
0.0007023811340332 0.807000 12.000000	0.807000, 12.000000, 0.009210
0.0007319450378418 0.807000 13.000000	0.807000, 13.000000, 0.009586
0.0007586479187012 0.807000 14.000000	0.807000, 14.000000, 0.009948
